NAME		EXTENTIONS	FORMAT				ACTUAL						DESCRIPTION						Columns		        Encodings
add.uw		Zba		add.uw rd, rs1, rs2		 						X(rd) = X(rs2) + EXTZ(X(rs1)[31..0])			{R}			{0000100 000 0111011}
add		RV32I,RV64I	add rd, rs1, rs2		 						x[rd] = x[rs1] + x[rs2]					{R}			{0000000 000 0110011}
addi		RV32I,RV64I	addi rd, rs1, imm		 						x[rd] = x[rs1] + sext[imm]				{I}			{000 0010011}
addiw		RV64I		addiw rd, rs1, imm		 						x[rd] = sext((x[rs1] + sext(imm))[31:0])		{I}			{000 0011011}
addw		RV64I		addw rd, rs1, rs2		 						x[rd] = sext((x[rs1] + x[rs2])[31:0])			{R}			{0000000 000 0111011}
amoadd.d	RV64A		amoadd.d rd, rs2, (rs1)		 						x[rd] = AMO64(M[x[rs1]] + x[rs2])			{AMO-R}			{00000 011}
amoadd.w	RV32A,RV64A	amoadd.w rd, rs2, (rs1)		 						x[rd] = AMO32(M[x[rs1]] + x[rs2])			{AMO-R}			{00000 010}
amoand.d	RV64A		amoand.d rd, rs2, (rs1)		 						x[rd] = AMO64(M[x[rs1]] & x[rs2]])			{AMO-R}			{01100 011}
amoand.w	RV32A,RV64A	amoand.w rd, rs2, (rs1)		 						x[rd] = AMO32(M[x[rs1]] & x[rs2]])			{AMO-R}			{01100 010}
amomax.d	RV64A		amomax.d rd, rs2, (rs1)		 						x[rd] = AMO64(M[x[rs1]] MAX x[rs2]])			{AMO-R}			{10100 011}
amomax.w	RV32A,RV64A	amomax.w rd, rs2, (rs1)		 						x[rd] = AMO32(M[x[rs1]] MAX x[rs2]])			{AMO-R}			{10100 010}
amomaxu.d	RV64A		amomaxu.d rd, rs2, (rs1)	 						x[rd] = AMO64(M[x[rs1]] MAXU x[rs2])			{AMO-R}			{11100 011}
amomaxu.w	RV32A,RV64A	amomaxu.w rd, rs2, (rs1)	 						x[rd] = AMO32(M[x[rs1]] MAXU x[rs2])			{AMO-R}			{11100 010}
amomin.d	RV64A		amomin.d rd, rs2, (rs1)		 						x[rd] = AMO64(M[x[rs1]] MIN x[rs2])			{AMO-R}			{10000 011}
amomin.w	RV32A,RV64A	amomin.w rd, rs2, (rs1)		 						x[rd] = AMO32(M[x[rs1]] MIN x[rs2])			{AMO-R}			{10000 010}
amominu.d	RV64A		amominu.d rd, rs2, (rs1)	 						x[rd] = AMO64(M[x[rs1]] MINU x[rs2])			{AMO-R}			{11000 011}
amominu.w	RV32A,RV64A	amominu.w rd, rs2, (rs1)	 						x[rd] = AMO32(M[x[rs1]] MINU x[rs2])			{AMO-R}			{11000 010}
amoor.d		RV64A		amoor.d rd, rs2, (rs1)		 						x[rd] = AMO64(M[x[rs1]] | x[rs2])			{AMO-R}			{01000 011}
amoor.w		RV32A,RV64A	amoor.w rd, rs2, (rs1)		 						x[rd] = AMO32(M[x[rs1]] | x[rs2])			{AMO-R}			{01000 010}
amoswap.d	RV64A		amoswap.d rd, rs2, (rs1)	 						x[rd] = AMO64(M[x[rs1]] SWAP x[rs2])			{AMO-R}			{00001 011}
amoswap.w	RV32A,RV64A	amoswap.w rd, rs2, (rs1)	 						x[rd] = AMO32(M[x[rs1]] SWAP x[rs2])			{AMO-R}			{00001 010}
amoxor.d	RV64A		amoxor.d rd, rs2, (rs1)		 						x[rd] = AMO64(M[x[rs1]] ˆ x[rs2])			{AMO-R}			{00100 011}
amoxor.w	RV32A,RV64A	amoxor.w rd, rs2, (rs1)		 						x[rd] = AMO32(M[x[rs1]] ^ x[rs2])			{AMO-R}			{00100 010}
and		RV32I,RV64I	and rd, rs1, rs2		 						x[rd] = x[rs1] & x[rs2]					{R}			{000000 111 0110011}
andi		RV32I,RV64I	andi rd, rs1, immediate		 						x[rd] = x[rs1] & sext(imm)				{I}			{111 0010011}
andn		Zbb		andn rd, rs1, rs2		 						X(rd) = X(rs1) & ~X(rs2)				{R}			{0100000 111 0110011}
auipc		RV32I,RV64I	auipc rd, imm			 						x[rd] = pc + sext(imm[31:12] << 12)			{U}			{0010111}
bclr		Zbs		bclr rd, rs1, rs2		 						X(rd) = X(rs1) & ~(1 << (X(rs2) & (XLEN - 1)))		{R}			{0100100 001 0110011}
bclri		Zbs		bclri rd, rs1, shamt		 						X(rd) = X(rs1) & ~(1 << (shamt & (XLEN - 1)))		{}			{}
beq		RV32I,RV64I	beq rs1, off			 						if (rs1 == rs2) pc += sext(off)				{B}			{000 1100011}
beqz		RV32I,RV64I	beqz rs1, off			beq rs1, x0, offset				if (rs1 == 0) pc += sext(off)				{B}			{off[12] off[10:5] x0 rs1 000 off[4:1] off[11] 1100011}
bext		Zbs		bext rd, rs1, rs2		 						X(rd) = (X(rs1) >> (X(rs2) & (XLEN - 1))) & 1		{R}			{0100100 101 0110011}
bexti		Zbs		bexti rd, rs1, shamt		 						X(rd) = (X(rs1) >> (shamt & (XLEN - 1))) & 1		{}			{}
bge		RV32I,RV64I	bge rs1, rs2, off		 						if (rs1 ≥s rs2) pc += sext(off)				{B}			{101 1100011}
bgeu		RV32I,RV64I	bgeu rs1, rs2, off		 						if (rs1 ≥u rs2) pc += sext(off)				{B}			{111 1100011}
bgez		RV32I,RV64I	bgez rs1, off			bge rs1, x0, offset				if (rs1 ≥s 0) pc += sext(off)				{B}			{off[12] off[10:5] x0 rs1 101 off[4:1] off[11] 1100011}
bgt		RV32I,RV64I	bgt rs1, rs2, off		blt rs2, rs1, offset				if (rs1 >s rs2) pc += sext(off)				{B}			{off[12] off[10:5] rs1 rs2 100 off[4:1] off[11] 1100011}
bgtu		RV32I,RV64I	bgtu rs1, rs2, off		bltu rs2, rs1, offset				if (rs1 >u rs2) pc += sext(off)				{B}			{off[12] off[10:5] rs1 rs2 110 off[4:1] off[11] 1100011}
bgtz		RV32I,RV64I	bgtz rs2, off			blt x0, rs2, offset				if (rs2 >s 0) pc += sext(off)				{B}			{off[12] off[10:5] x0 rs2 100 off[4:1] off[11] 1100011}
ble		RV32I,RV64I	ble rs1, rs2, off		bge rs2, rs1, offset				if (rs1 ≤s rs2) pc += sext(off)				{B}			{off[12] off[10:5] rs1 rs2 101 off[4:1] off[11] 1100011}
bleu		RV32I,RV64I	bleu rs1, rs2, off		bgeu rs2, rs1, offset				if (rs1 ≤u rs2) pc += sext(off)				{B}			{off[12] off[10:5] rs1 rs2 111 off[4:1] off[11] 1100011}
blez		RV32I,RV64I	blez rs2, off			bge x0, rs2, offset				if (rs2 ≤s 0) pc += sext(off)				{B}			{off[12] off[10:5] x0 rs2 101 off[4:1] off[11] 1100011}
blt		RV32I,RV64I	blt rs1, rs2, off		 						if (rs1 <s rs2) pc += sext(off)				{B}			{100 1100011}
bltz		RV32I,RV64I	bltz rs1, offset		blt rs1, x0, offset				if (rs1 <s 0) pc += sext(offset)			{B}			{off[12] off[10:5] x0 rs2 100 off[4:1] off[11] 1100011}
bltu		RV32I,RV64I	bltu rs1, rs2, off		 						if (rs1 <u rs2) pc += sext(offset)			{B}			{110 1100011}
bne		RV32I,RV64I	bne rs1, rs2, off		 						if (rs1 != rs2) pc += sext(offset)			{B}			{001 1100011}
bnez		RV32I,RV64I	bnez rs1, off			bne rs1, x0, offset				if (rs1 != 0) pc += sext(offset)			{B}			{off[12] off[10:5] x0 rs2 001 off[4:1] off[11] 1100011}
c.add		RV32IC,RV64IC	c.add rd, rs2			 						x[rd] = x[rd] + x[rs2]					{C-Arith-R}		{100 1 10}
c.addi		RV32IC,RV64IC	c.addi rd, imm			 						x[rd] = x[rd] + sext(imm)				{C-Arith-I}		{000 01}
c.addi16sp	RV32IC,RV64IC	c.addi16sp imm			 						x[2] = x[2] + sext(imm)					{3 1 5 1 1 2 1 2}	{011 imm[9] 00010 imm[4] imm[6] imm[8:7] imm[5] 01}
c.addi4spn	RV32IC,RV64IC	c.addi4spn rd', uimm		 						x[8+rd'] = x[2] + uimm					{3 2 4 1 1 3 2}		{000 uimm[5:4] uimm[9:6] uimm[2] uimm[3] rd' 00}
c.addiw		RV64IC		c.addiw rd, imm			 						x[rd] = sext((x[rd] + sext(imm))[31:0])			{C-Arith-I}		{001 01}
c.and		RV32IC,RV64IC	c.and rd', rs2'			 						x[8+rd'] = x[8+rd'] & x[8+rs2']				{C-Logic-R}		{100011 11 01}
c.andw		RV64IC		c.addw rd', rs2'		 						x[8+rd'] = sext(x[8+rd'] + x[8+rs2'])[31:0])		{C-Logic-R}		{100111 01 01}
c.andi		RV32IC,RV64IC	c.andi rd', imm			 						x[8+rd'] = x[8+rd'] & sext(imm)				{C-Logic-I}		{100 10 01}
c.beqz		RV32IC,RV64IC	c.beqz rs1', offset		 						if (x[8+rs1′] == 0) pc += sext(offset)			{3 2 1 3 2 2 1 2}	{110 off[8] off[4:3] rs1' off[7:6] off[2:1] off[5] 01}
